DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Response to TNF-alpha inhibitors in rheumatoid arthritis	rheumatoid arthritis|| response to TNF antagonist	GCST001510	response to TNF antagonist	rheumatoid arthritis
Response to TNF inhibitor in rheumatoid arthritis (change in disease activity score)	rheumatoid arthritis|| response to TNF antagonist|| arthritis disease activity score measurement	GCST006610	response to TNF antagonist|| arthritis disease activity score measurement	rheumatoid arthritis
Response to TNF inhibitor in rheumatoid arthritis (erythrocyte sedimentation rate)	rheumatoid arthritis|| response to TNF antagonist|| blood sedimentation	GCST006607	response to TNF antagonist|| blood sedimentation	rheumatoid arthritis
Response to TNF inhibitor in rheumatoid arthritis (change in swollen 28-joint count)	rheumatoid arthritis|| response to TNF antagonist|| joint damage measurement	GCST006606	response to TNF antagonist|| joint damage measurement	rheumatoid arthritis
Response to TNF inhibitor in rheumatoid arthritis (change in tender 28-joint count)	rheumatoid arthritis|| response to TNF antagonist|| joint damage measurement	GCST006609	response to TNF antagonist|| joint damage measurement	rheumatoid arthritis
Response to TNF inhibitor in rheumatoid arthritis (change in patient global heath assessment score)	rheumatoid arthritis|| self rated health|| response to TNF antagonist	GCST006608	response to TNF antagonist||self rated health	rheumatoid arthritis
Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	response to trametinib|| fever|| melanoma|| response to dabrafenib	GCST003456	response to trametinib|| fever|| response to dabrafenib	melanoma
Venlafaxine response in generalised anxiety disorder (HAMA-A score reduction after 12 weeks)	response to venlafaxine|| generalized anxiety disorder	GCST004272	response to venlafaxine	generalized anxiety disorder
Venlafaxine response in generalised anxiety disorder (HAMA-A score reduction after 24 weeks)	response to venlafaxine|| generalized anxiety disorder	GCST004271	response to venlafaxine	generalized anxiety disorder
Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 12 weeks)	response to venlafaxine|| generalized anxiety disorder	GCST004274	response to venlafaxine	generalized anxiety disorder
Venlafaxine response in generalised anxiety disorder (remitters vs non-remitters after 24 weeks)	response to venlafaxine|| generalized anxiety disorder	GCST004273	response to venlafaxine	generalized anxiety disorder
Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 12 weeks)	response to venlafaxine|| generalized anxiety disorder	GCST004270	response to venlafaxine	generalized anxiety disorder
Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)	response to venlafaxine|| generalized anxiety disorder	GCST004275	response to venlafaxine	generalized anxiety disorder
Response to ziprazidone in schizophrenia	schizophrenia|| response to ziprasidone	GCST006296	response to ziprasidone	schizophrenia
Risky sexual behaviors in alcohol dependence	alcohol dependence|| risky sexual behaviour measurement	GCST004955	risky sexual behaviour measurement	alcohol dependence
Lachrymal/Salivary gland lesion in type 1 autoimmune pancreatitis	salivary gland lesion|| autoimmune pancreatitis type 1|| lachrymal gland lesion	GCST002913	salivary gland lesion|| lachrymal gland lesion	autoimmune pancreatitis type 1
Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL)	serum alanine aminotransferase measurement|| response to combination chemotherapy|| acute lymphoblastic leukemia	GCST004250	serum alanine aminotransferase measurement|| response to combination chemotherapy	acute lymphoblastic leukemia
Creatinine levels in ischemic stroke	Ischemic stroke|| serum creatinine measurement	GCST003213	serum creatinine measurement	Ischemic stroke
Peak creatinine levels in vancomycin therapy	response to vancomycin|| serum creatinine measurement	GCST002948	serum creatinine measurement|| response to vancomycin	
IgE levels in asthmatics	serum IgE measurement|| asthma	GCST002122	serum IgE measurement	asthma
IgE levels in asthmatics (D.f. specific)	serum IgE measurement|| asthma	GCST002125	serum IgE measurement	asthma
IgE levels in asthmatics (D.p. specific)	serum IgE measurement|| asthma	GCST002124	serum IgE measurement	asthma
Sex hormone-binding globulin levels in polycystic ovary syndrome	polycystic ovary syndrome|| sex hormone-binding globulin measurement	GCST005271	sex hormone-binding globulin measurement	polycystic ovary syndrome
Sexual dimorphism in anthropometric traits	anthropometric measurement|| sexual dimorphism	GCST002063	sexual dimorphism	anthropometric measurement
Sex difference in attention deficit hyperactivity disorder	attention deficit hyperactivity disorder|| sexual dimorphism	GCST005363	sexual dimorphism	attention deficit hyperactivity disorder
Thiopurine-induced skin symptoms in inflammatory bowel disease	skin disease|| response to thiopurine|| inflammatory bowel disease	GCST006213	skin disease|| response to thiopurine	inflammatory bowel disease
Skin fluorescence in type 1 diabetes	skin fluorescence measurement|| type I diabetes mellitus	GCST003418	skin fluorescence measurement	type I diabetes mellitus
Current cigarettes per day in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| smoking behaviour measurement	GCST006042	smoking behaviour measurement	chronic obstructive pulmonary disease
Current cigarettes per day in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| cigarettes per day measurement	GCST005917	smoking behaviour measurement	chronic obstructive pulmonary disease
Current cigarettes per day in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| smoking behaviour measurement	GCST001111	smoking behaviour measurement	chronic obstructive pulmonary disease
Lifetime average cigarettes per day in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| smoking behaviour measurement	GCST001112	smoking behaviour measurement	chronic obstructive pulmonary disease
Smoking cessation in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| smoking cessation	GCST005918	smoking cessation	chronic obstructive pulmonary disease
Smoking cessation in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| smoking cessation	GCST001108	smoking cessation	chronic obstructive pulmonary disease
Bone mineral density (lumbar spine) in inflammatory bowel disease	inflammatory bowel disease|| spine bone mineral density	GCST005783	spine bone mineral density	inflammatory bowel disease
Bone mineral density change response to combined chemotherapy in acute lymphoblastic leukemia	spine bone mineral density change measurement|| response to combination chemotherapy|| acute lymphoblastic leukemia	GCST005214	spine bone mineral density change measurement|| response to combination chemotherapy	acute lymphoblastic leukemia
Suicidal ideation in depression or bipolar disorder	unipolar depression|| suicidal ideation|| bipolar disorder	GCST002505	suicidal ideation	unipolar depression|| bipolar disorder
Suicide in bipolar disorder	suicide behaviour measurement|| bipolar disorder|| attempted suicide	GCST002699	suicide behaviour measurement|| attempted suicide	bipolar disorder
Suicide ideation score in major depressive disorder	suicide ideation measurement|| unipolar depression	GCST002974	suicide ideation measurement	unipolar depression
Systolic blood pressure in sickle cell anemia	Sickle cell anemia|| systolic blood pressure	GCST002187	systolic blood pressure	Sickle cell anemia
Systolic blood pressure night-to-day ratio in hypertension	hypertension|| systolic blood pressure change measurement	GCST006274	systolic blood pressure change measurement	hypertension
Systolic blood pressure response to hydrochlorothiazide in hypertension	response to hydrochlorothiazide|| hypertension|| systolic blood pressure change measurement	GCST003807	response to hydrochlorothiazide||  systolic blood pressure change measurement	hypertension
Blood pressure response to hydrochlorothiazide in hypertension	response to hydrochlorothiazide|| diastolic blood pressure change measurement|| hypertension|| systolic blood pressure change measurement	GCST002784	systolic blood pressure change measurement|| response to hydrochlorothiazide|| diastolic blood pressure change measurement	hypertension
Testosterone levels in polycystic ovary syndrome	polycystic ovary syndrome|| testosterone measurement	GCST005272	testosterone measurement	polycystic ovary syndrome
Thalamus volume in trauma-exposed individuals	response to trauma exposure|| thalamus volume	GCST005245	thalamus volume|| response to trauma exposure	
Thiopurine methyltransferase activity in acute lymphoblastic leukemia patients treated with mercaptopurines	thiopurine methyltransferase activity measurement|| response to mercaptopurine|| acute lymphoblastic leukemia	GCST003609	response to mercaptopurine|| thiopurine methyltransferase activity measurement	acute lymphoblastic leukemia
Thrombin-antithrombin complex levels in ischemic stroke	Ischemic stroke|| thrombin-antithrombin complex measurement	GCST003233	thrombin-antithrombin complex measurement	Ischemic stroke
Thrombocytopenia in coronary artery bypass surgery	coronary artery bypass|| thrombocytopenia	GCST006435	thrombocytopenia	coronary artery bypass 
Thrombomodulin levels in ischemic stroke	Ischemic stroke|| thrombomodulin measurement	GCST003234	thrombomodulin measurement	Ischemic stroke
Thyroid peroxidase autoantibody levels in type 1 diabetes	type I diabetes mellitus|| thyroid peroxidase antibody measurement	GCST004383	thyroid peroxidase antibody measurement	type I diabetes mellitus
Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	ticagrelor measurement|| acute coronary syndrome	GCST002882	ticagrelor measurement	acute coronary syndrome
Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	response to simvastatin|| type II diabetes mellitus|| total cholesterol change measurement|| response to fenofibrate	GCST004765	response to simvastatin|| total cholesterol change measurement|| response to fenofibrate	type II diabetes mellitus
